species,lambda0_ang,sigma_lambda0_ang,q_cm-1,sigma_q_cm-1,lambda0_source,join_flag,nist_wavelength_ang,lower_level,upper_level,Aki_s-1,fik,q_cm1,line_id,lambda0_unc_ang
Fe V,1284.108,0.004,2596,,Hu2021_table,OK,1284.109,3d3.(4P).4s 5P J=1,3d3.(2P).4p 1D* J=2,560000000.0,0.046,2596,line_0075,0.004
Ni V,1284.475,0.005,2751,,Lee2025_2410.01849,OK,1284.477,3d5.(4D).4s 5D J=2,3d5.(4D).4p 5F* J=3,4720000000.0,0.234,2751,line_0076,0.005
Fe V,1285.915,0.004,3386,,Hu2021_table,OK,1285.918,3d3.(4P).4s 3P J=1,3d3.(2D2).4p 3P* J=1,510000000.0,0.042,3386,line_0077,0.004
Ni V,1287.571,0.002,5009,,Lee2025_2410.01849,OK,1287.572,3d5.(2D3).4s 3D J=3,3d5.(2D3).4p 3F* J=4,4830000000.0,0.172,5009,line_0078,0.002
Ni V,1287.807,0.005,2642,,Lee2025_2410.01849,OK,1287.806,3d5.(4D).4s 5D J=1,3d5.(4D).4p 5F* J=2,2530000000.0,0.21,2642,line_0079,0.005
Fe V,1288.1681,0.004,2387,,Hu2021_table,OK,1288.169,3d3.(4P).4s 5P J=2,3d3.(2P).4p 1D* J=2,1000000000.0,0.049,2387,line_0080,0.004
Fe V,1288.7231,0.004,3436,,Hu2021_table,OK,1288.72,3d3.(4P).4s 5P J=2,3d3.(2G).4p 1F* J=3,,,3436,line_0081,0.004
Fe V,1289.5369,0.004,2798,,Hu2021_table,OK,1289.533,3d3.(2F).4s 3F J=4,3d3.(2F).4p 1G* J=4,40000000.0,0.0011,2798,line_0082,0.004
Ni V,1290.397,0.002,2290,,Lee2025_2410.01849,OK,1290.397,3d5.(4D).4s 5D J=2,3d5.(4D).4p 5F* J=2,1580000000.0,0.0789,2290,line_0083,0.002
Fe V,1291.1881,0.004,2472,,Hu2021_table,OK,1291.191,3d3.(4P).4s 5P J=2,3d3.(4P).4p 5S* J=2,850000000.0,0.042,2472,line_0084,0.004
Fe V,1293.127,0.004,2635,,Hu2021_table,OK,1293.125,3d3.(2F).4s 3F J=3,3d3.(2F).4p 1G* J=4,90000000.0,0.0031,2635,line_0085,0.004
Fe V,1293.3059,0.004,2665,,Hu2021_table,OK,1293.305,3d3.(2G).4s 3G J=4,3d3.(4P).4p 3D* J=3,600000000.0,0.016,2665,line_0086,0.004
Fe V,1297.5453,0.004,1691,,Hu2021_table,OK,1297.547,3d3.(4P).4s 5P J=3,3d3.(2P).4p 1D* J=2,1100000000.0,0.039,1691,line_0087,0.004
Ni V,1298.732,0.002,3419,,Lee2025_2410.01849,OK,1298.732,3d5.(2G2).4s 3G J=5,3d5.(2H).4p 3I* J=6,7540000000.0,0.173,3419,line_0088,0.002
