species,wavelength_vac_ang,wavelength_unc_ang,lower_level,upper_level,Aki_s-1,fik,nist_source,q_cm-1,q_source,wl_match_ang,f_q,gamma_s-1
Fe V,1514.8810,0.0040,3d3.(2H).4s 3H J=5,3d3.(2G).4p 1H* J=5,,,NIST_ASD_v5.12;L3625,2178,Hu_et_al_2021,1514.8915,3.4e-04,2.37E+09
Fe V,1515.5330,0.0040,3d3.(4F).4s 3F J=2,3d3.(4F).4p 3D* J=3,4.1e+07,2.9e-03,NIST_ASD_v5.12;L3625;T6653c93,3306,Hu_et_al_2021,1515.5359,2.9e-03,3.62E+09
Fe V,1516.8040,0.0040,3d3.(2P).4s 3P J=1,3d3.(2G).4p 3F* J=2,2.4e+08,2.8e-02,NIST_ASD_v5.12;L3625;T6653c93,2965,Hu_et_al_2021,1516.7993,2.8e-02,5.92E+09
Fe V,1519.5190,0.0040,3d3.(2D2).4s 1D J=2,3d3.(4P).4p 3D* J=3,9.8e+07,6.8e-03,NIST_ASD_v5.12;L3625;T6653c93,2044,Hu_et_al_2021,1519.5178,6.8e-03,5.62E+09
Fe V,1525.1650,0.0040,3d3.(2D2).4s 1D J=2,3d3.(2P).4p 3S* J=1,7.2e+07,5.0e-03,NIST_ASD_v5.12;L3625;T6653c93,2379,Hu_et_al_2021,1525.1631,5.0e-03,7.30E+09
Fe V,1528.4900,0.0040,3d3.(2P).4s 1P J=1,3d3.(2P).4p 3D* J=2,2.7e+08,3.1e-02,NIST_ASD_v5.12;L3625;T6653c93,1379,Hu_et_al_2021,1528.4843,3.1e-02,5.21E+09
Fe V,1530.4390,0.0040,3d3.(2D2).4s 1D J=2,3d3.(2D2).4p 1P* J=1,1.3e+09,9.1e-02,NIST_ASD_v5.12;L3625;T6653c93,2013,Hu_et_al_2021,1530.4401,9.1e-02,6.90E+09
Fe V,1532.3300,0.0040,3d3.(2G).4s 1G J=4,3d3.(2G).4p 3G* J=3,3.4e+08,1.3e-02,NIST_ASD_v5.12;L3625;T6653c93,1900,Hu_et_al_2021,1532.3289,1.3e-02,7.63E+09
Fe V,1532.6250,0.0200,3d3.(4F).4s 3F J=3,3d3.(4F).4p 3D* J=3,4.5e+08,2.3e-02,NIST_ASD_v5.12;L2884;T6653c93,2462,Hu_et_al_2021,1532.6480,2.3e-02,3.62E+09
Fe V,1533.4130,0.0200,3d3.(4F).4s 3F J=2,3d3.(4F).4p 3D* J=2,3.2e+08,2.2e-02,NIST_ASD_v5.12;L2884;T6653c93,2921,Hu_et_al_2021,1533.3870,2.2e-02,3.64E+09
Fe V,1535.0340,0.0040,3d3.(4P).4s 3P J=2,3d3.(2G).4p 3G* J=3,,,NIST_ASD_v5.12;L3625,905,Hu_et_al_2021,1535.0382,1.4e-05,7.63E+09
Fe V,1543.2340,0.0040,3d3.(4F).4s 3F J=2,3d3.(4F).4p 5F* J=1,9.0e+08,6.5e-02,NIST_ASD_v5.12;L3625;T6653c93,2774,Hu_et_al_2021,1543.2340,6.5e-02,3.64E+09
Fe V,1550.8900,0.0200,3d3.(4F).4s 3F J=3,3d3.(4F).4p 3D* J=2,1.6e+09,8.5e-02,NIST_ASD_v5.12;L2884;T6653c93,2077,Hu_et_al_2021,1550.9060,8.5e-02,3.64E+09
Fe V,1554.2190,0.0040,3d3.(4F).4s 3F J=4,3d3.(4F).4p 3D* J=3,3.2e+09,1.27e-01,NIST_ASD_v5.12;L3625;T6653c93,1456,Hu_et_al_2021,1554.2180,1.3e-01,3.62E+09
Fe V,1555.4420,0.0040,3d3.(2D2).4s 1D J=2,3d3.(2P).4p 3D* J=2,3.1e+08,2.2e-02,NIST_ASD_v5.12;L3625;T6653c93,2074,Hu_et_al_2021,1555.4456,2.2e-02,5.21E+09
