line_id,species,lambda0_ang,q_cm1,lambda0_unc_ang,converged,flags,lambda_obs,sigma_lambda_obs,depth,width,depth_err,chi2_local,reduced_chi2_local,dof_local,n_components,best_k,delta_bic_vs_k1,asymmetry,snr,window_contam
line_0152,Fe V,1359.4034,3290,0.004,True,,1359.1177963638013,0.005522589848863807,0.16572015091082867,0.013917282110181298,0.027421046385843466,604.0171722983664,5.980368042558084,101.0,1.0,1.0,0.0,0.2249534301579208,6.043538549877668,0.0
line_0154,Fe V,1361.828,3100,0.007,True,BLEND_MODELED,1361.9497731328806,0.00881636472613893,0.7011095788490129,0.18651778424512258,0.021317983377814244,939.577588743078,9.686366894258535,97.0,3.0,3.0,48165.61572098689,0.23895318475302088,32.88817551000917,0.6666666666666666
line_0158,Fe V,1364.8201,2960,0.004,True,BLEND_RESOLVED,1364.9257838464991,0.002218371378012953,0.1306593677321284,0.02571500657547926,0.008500324480568207,348.6788416195838,3.6320712668706645,96.0,3.0,3.0,1263.138930961929,0.38721405801494607,15.371103542084366,0.6666666666666666
line_0159,Fe V,1365.1143,2613,0.004,True,BLEND_RESOLVED,1365.2260110068626,0.0032101273710382376,0.19557115983689838,0.03238964394439921,0.015125429119580378,922.1522654827141,9.605752765444938,96.0,3.0,3.0,2197.8885934019945,0.08463574314537929,12.929957774469019,0.6666666666666666
line_0161,Fe V,1370.3038,1606,0.004,True,,1370.5431364360736,0.014203053163946279,0.7470857520673514,0.49999999999999994,0.09441224945451757,304.58381551180526,3.0458381551180524,100.0,1.0,1.0,0.0,0.1943565766568874,7.913017181390797,0.0
line_0162,Fe V,1371.2188,2272,0.004,True,BLEND_MODELED,1371.4012999839042,0.010497084516883987,0.629792291740167,0.1846662164695966,0.11988283849898448,511.3792755405654,5.326867453547556,96.0,3.0,3.0,6940.3671160695985,0.11893672064658331,5.253398231353206,0.6666666666666666
line_0163,Fe V,1371.9858,2311,0.004,True,BLEND_MODELED,1372.0944619918778,0.004934547406971126,0.11478984664265839,0.05202020636997821,0.009988723198300664,320.99877232266505,3.3437372116944277,96.0,3.0,3.0,534.569867458036,0.12028360245206195,11.491943901517569,0.6666666666666666
line_0164,Fe V,1372.6536,2112,0.004,True,,1372.788293411269,0.008662390960897824,0.5467047404192401,0.49999999999996025,0.09999963515452284,135.68127877982613,1.3568127877982612,100.0,1.0,1.0,0.0,0.08280148544005118,5.467067350540363,0.0
line_0165,Fe V,1373.5868,2869,0.004,True,BLEND_MODELED,1373.726542372457,0.009891517174850921,0.44458789333580073,0.09223922994937168,0.03156231684720755,2593.15420402302,27.012022958573127,96.0,3.0,3.0,1778.8412358074024,0.24346592391026034,14.086034795482238,0.6666666666666666
line_0166,Fe V,1373.677,4068,0.007,True,BLEND_RESOLVED,1373.742543546242,0.005401529635290864,0.43345221476754753,0.11202810701142972,0.025715117693662293,3313.1000572626685,33.8071434414558,98.0,2.0,2.0,1218.151522748437,0.06906235593672765,16.855929649288576,0.3333333333333333
